time, frequency 1, note 1, amplitude 1, frequency 2, note 2, amplitude 2, frequency 3, note 3, amplitude 3, frequency 4, note 4, amplitude 4, frequency 5, note 5, amplitude 5, frequency 6, note 6, amplitude 6, frequency 7, note 7, amplitude 7, frequency 8, note 8, amplitude 8, frequency 9, note 9, amplitude 9, frequency 10, note 10, amplitude 10, frequency 11, note 11, amplitude 11, frequency 12, note 12, amplitude 12, frequency 13, note 13, amplitude 13, frequency 14, note 14, amplitude 14, frequency 15, note 15, amplitude 15, frequency 16, note 16, amplitude 16, frequency 17, note 17, amplitude 17, frequency 18, note 18, amplitude 18, frequency 19, note 19, amplitude 19, frequency 20, note 20, amplitude 20
0.000, 9765.3076, D#9, 6.7402, 8441.0156, C9, 5.8155, 9754.5410, D#9, 5.1930, 8451.7822, C9, 5.1721, 7881.1523, B8, 5.0795, 7848.8525, B8, 4.6323, 6546.0938, G#8, 4.5628, 6556.8604, G#8, 4.4696, 4995.7031, D#8, 4.3443, 6890.6250, A8, 4.1167, 8462.5488, C9, 3.9590, 6858.3252, A8, 3.7965, 8430.2490, C9, 3.7531, 9786.8408, D#9, 3.6760, 7902.6855, B8, 3.5741, 7579.6875, A#8, 3.5218, 4984.9365, D#8, 3.5083, 7870.3857, B8, 3.4648, 6847.5586, A8, 3.4553, 7816.5527, B8, 3.4494
0.100, 7870.3857, B8, 5.4347, 4995.7031, D#8, 4.3468, 7881.1523, B8, 4.1124, 6879.8584, A8, 3.8458, 9765.3076, D#9, 3.3719, 6546.0938, G#8, 3.1547, 8171.8506, C9, 3.1462, 7902.6855, B8, 2.9696, 7913.4521, B8, 2.9396, 7848.8525, B8, 2.8529, 7816.5527, B8, 2.6770, 4984.9365, D#8, 2.5811, 6535.3271, G#8, 2.5317, 6556.8604, G#8, 2.4950, 7838.0859, B8, 2.4612, 7461.2549, A#8, 2.4276, 7891.9189, B8, 2.4044, 6384.5947, G8, 2.3850, 8451.7822, C9, 2.3649, 6869.0918, A8, 2.3400
0.200, 7881.1523, B8, 2.5721, 8451.7822, C9, 1.8296, 7870.3857, B8, 1.7765, 7461.2549, A#8, 1.5099, 7838.0859, B8, 1.5033, 8462.5488, C9, 1.4780, 8193.3838, C9, 1.4712, 5824.7314, F#8, 1.4050, 7891.9189, B8, 1.3998, 7310.5225, A#8, 1.2616, 10228.2715, D#9, 1.1663, 5620.1660, F8, 1.1645, 7848.8525, B8, 1.0752, 7450.4883, A#8, 1.0447, 6965.9912, A8, 1.0223, 6879.8584, A8, 0.9916, 6373.8281, G8, 0.9898, 7052.1240, A8, 0.9789, 9916.0400, D#9, 0.9779, 8204.1504, C9, 0.9732
0.300, 7902.6855, B8, 8.9841, 7891.9189, B8, 7.9082, 7913.4521, B8, 7.6718, 9754.5410, D#9, 6.4340, 9765.3076, D#9, 6.3900, 8430.2490, C9, 5.9249, 7881.1523, B8, 5.7837, 9366.9434, D9, 5.5838, 9377.7100, D9, 5.4908, 7019.8242, A8, 5.1532, 6858.3252, A8, 5.0616, 8419.4824, C9, 4.9540, 7461.2549, A#8, 4.7715, 7924.2188, B8, 4.7664, 6869.0918, A8, 4.6727, 7030.5908, A8, 4.5072, 7116.7236, A8, 4.3654, 9356.1768, D9, 4.3585, 9743.7744, D#9, 4.3156, 7450.4883, A#8, 4.2624
0.400, 8182.6172, C9, 5.6589, 6879.8584, A8, 5.4077, 8193.3838, C9, 5.2959, 9765.3076, D#9, 4.9971, 8441.0156, C9, 4.9292, 8451.7822, C9, 4.8341, 8893.2129, C#9, 4.4343, 7859.6191, B8, 4.0284, 6890.6250, A8, 4.0038, 8171.8506, C9, 3.9853, 7838.0859, B8, 3.9763, 5620.1660, F8, 3.8766, 7881.1523, B8, 3.8595, 7870.3857, B8, 3.8160, 5630.9326, F8, 3.8099, 10228.2715, D#9, 3.7532, 9313.1104, D9, 3.7208, 8462.5488, C9, 3.6715, 6373.8281, G8, 3.6583, 8903.9795, C#9, 3.6216
0.500, 7310.5225, A#8, 2.6992, 9786.8408, D#9, 2.6365, 5307.9346, E8, 2.5621, 8903.9795, C#9, 2.5535, 7299.7559, A#8, 2.3884, 10034.4727, D#9, 2.3681, 9323.8770, D9, 2.3038, 10023.7061, D#9, 2.2940, 9496.1426, D9, 2.2203, 8204.1504, C9, 2.1751, 5824.7314, F#8, 2.1447, 6384.5947, G8, 2.1040, 7870.3857, B8, 2.0923, 7881.1523, B8, 2.0711, 9506.9092, D9, 1.9889, 8860.9131, C#9, 1.9759, 10174.4385, D#9, 1.9520, 9334.6436, D9, 1.9323, 5318.7012, E8, 1.8934, 8850.1465, C#9, 1.8475
0.600, 7493.5547, A#8, 0.6760, 8171.8506, C9, 0.6306, 6546.0938, G#8, 0.6194, 9797.6074, D#9, 0.5893, 7913.4521, B8, 0.5872, 7838.0859, B8, 0.5863, 8182.6172, C9, 0.5860, 7848.8525, B8, 0.5787, 6395.3613, G8, 0.5524, 6406.1279, G8, 0.5217, 9786.8408, D#9, 0.5157, 6793.7256, G#8, 0.4967, 7881.1523, B8, 0.4900, 4995.7031, D#8, 0.4739, 6040.0635, F#8, 0.4730, 7095.1904, A8, 0.4659, 5824.7314, F#8, 0.4595, 8893.2129, C#9, 0.4578, 9851.4404, D#9, 0.4554, 5534.0332, F8, 0.4553
0.700, 9765.3076, D#9, 8.4435, 6546.0938, G#8, 7.1189, 7848.8525, B8, 6.6947, 9754.5410, D#9, 6.6577, 7881.1523, B8, 6.5992, 8430.2490, C9, 6.5803, 8441.0156, C9, 6.2981, 8204.1504, C9, 5.6771, 6556.8604, G#8, 5.6669, 8462.5488, C9, 5.4933, 9786.8408, D#9, 5.4867, 4995.7031, D#8, 5.4655, 7870.3857, B8, 5.3902, 8451.7822, C9, 5.1913, 6879.8584, A8, 5.1135, 6890.6250, A8, 5.0335, 7579.6875, A#8, 5.0278, 10292.8711, E9, 5.0258, 7493.5547, A#8, 4.8565, 8128.7842, B8, 4.8411
0.800, 7870.3857, B8, 4.4956, 4995.7031, D#8, 3.9418, 6879.8584, A8, 3.6508, 7859.6191, B8, 3.5029, 7848.8525, B8, 3.3263, 8171.8506, C9, 3.1244, 7838.0859, B8, 3.0957, 9765.3076, D#9, 3.0294, 6869.0918, A8, 2.9675, 7881.1523, B8, 2.8872, 7816.5527, B8, 2.8018, 7461.2549, A#8, 2.7005, 7827.3193, B8, 2.5791, 7913.4521, B8, 2.5689, 7052.1240, A8, 2.5514, 4984.9365, D#8, 2.5279, 9851.4404, D#9, 2.3895, 6395.3613, G8, 2.3655, 5824.7314, F#8, 2.3135, 8903.9795, C#9, 2.2866
0.900, 7881.1523, B8, 1.6632, 7870.3857, B8, 1.5258, 8451.7822, C9, 1.2855, 8193.3838, C9, 1.1739, 8204.1504, C9, 1.1441, 7891.9189, B8, 1.1185, 7461.2549, A#8, 1.0727, 7838.0859, B8, 1.0411, 7848.8525, B8, 1.0252, 8462.5488, C9, 0.9200, 9851.4404, D#9, 0.8732, 5824.7314, F#8, 0.8284, 6384.5947, G8, 0.8011, 7181.3232, A8, 0.7862, 6965.9912, A8, 0.7684, 5620.1660, F8, 0.7588, 7450.4883, A#8, 0.7347, 6373.8281, G8, 0.7327, 7310.5225, A#8, 0.7278, 7375.1221, A#8, 0.6813
1.000, 7902.6855, B8, 11.0865, 7891.9189, B8, 10.5859, 9765.3076, D#9, 9.9181, 9754.5410, D#9, 9.0652, 7913.4521, B8, 8.3774, 8430.2490, C9, 7.7423, 6858.3252, A8, 6.7333, 8441.0156, C9, 6.7159, 7881.1523, B8, 6.3960, 9377.7100, D9, 6.1983, 7019.8242, A8, 6.1687, 4995.7031, D#8, 6.0719, 9366.9434, D9, 6.0418, 9776.0742, D#9, 6.0124, 7030.5908, A8, 5.8995, 7461.2549, A#8, 5.7819, 7472.0215, A#8, 5.6859, 5835.4980, F#8, 5.6309, 7116.7236, A8, 5.5420, 7515.0879, A#8, 5.4734
1.100, 7870.3857, B8, 5.7051, 6879.8584, A8, 5.3191, 8893.2129, C#9, 5.2296, 8182.6172, C9, 4.2939, 9765.3076, D#9, 4.2173, 7881.1523, B8, 4.0866, 8903.9795, C#9, 3.9691, 5630.9326, F8, 3.9428, 8193.3838, C9, 3.8728, 8171.8506, C9, 3.7781, 9313.1104, D9, 3.7292, 5620.1660, F8, 3.6086, 4995.7031, D#8, 3.5572, 9808.3740, D#9, 3.5089, 6373.8281, G8, 3.5088, 9754.5410, D#9, 3.4990, 6890.6250, A8, 3.4818, 7504.3213, A#8, 3.3205, 8882.4463, C#9, 3.2789, 10228.2715, D#9, 3.2428
1.200, 7310.5225, A#8, 2.4759, 9786.8408, D#9, 2.3069, 7870.3857, B8, 2.2351, 7881.1523, B8, 2.1088, 7299.7559, A#8, 2.0683, 9506.9092, D9, 1.9517, 10023.7061, D#9, 1.9093, 8903.9795, C#9, 1.9032, 5307.9346, E8, 1.8973, 8204.1504, C9, 1.8065, 9496.1426, D9, 1.7622, 8193.3838, C9, 1.7573, 5824.7314, F#8, 1.7328, 10034.4727, D#9, 1.6721, 8451.7822, C9, 1.6688, 5630.9326, F8, 1.6263, 9776.0742, D#9, 1.6235, 8850.1465, C#9, 1.5963, 6384.5947, G8, 1.5686, 6373.8281, G8, 1.5469
1.300, 6546.0938, G#8, 1.0206, 7913.4521, B8, 0.9489, 7493.5547, A#8, 0.9050, 7095.1904, A8, 0.8452, 5813.9648, F#8, 0.8361, 9797.6074, D#9, 0.7995, 7838.0859, B8, 0.7915, 6406.1279, G8, 0.7703, 6395.3613, G8, 0.7652, 7881.1523, B8, 0.7570, 6384.5947, G8, 0.7434, 6793.7256, G#8, 0.7410, 8171.8506, C9, 0.6941, 8182.6172, C9, 0.6930, 6040.0635, F#8, 0.6861, 7461.2549, A#8, 0.6768, 9366.9434, D9, 0.6753, 5534.0332, F8, 0.6677, 8441.0156, C9, 0.6570, 7870.3857, B8, 0.6461
1.400, 8430.2490, C9, 5.1916, 9765.3076, D#9, 5.0302, 7848.8525, B8, 4.9235, 8204.1504, C9, 4.2580, 6546.0938, G#8, 4.1157, 10292.8711, E9, 4.1066, 8441.0156, C9, 3.9939, 7881.1523, B8, 3.9642, 5329.4678, E8, 3.8237, 8193.3838, C9, 3.7220, 8462.5488, C9, 3.6942, 9754.5410, D#9, 3.6467, 8128.7842, B8, 3.6277, 6879.8584, A8, 3.5960, 7838.0859, B8, 3.5669, 8828.6133, C#9, 3.5403, 6061.5967, F#8, 3.3045, 7579.6875, A#8, 3.2555, 8451.7822, C9, 3.2363, 9216.2109, D9, 3.1712
1.500, 7859.6191, B8, 3.6807, 7848.8525, B8, 3.5128, 6869.0918, A8, 3.3640, 4995.7031, D#8, 3.3436, 6879.8584, A8, 3.2813, 7838.0859, B8, 2.9084, 8903.9795, C#9, 2.8934, 7052.1240, A8, 2.8895, 7870.3857, B8, 2.8102, 5824.7314, F#8, 2.8050, 10131.3721, D#9, 2.7905, 8171.8506, C9, 2.7138, 5318.7012, E8, 2.6262, 9323.8770, D9, 2.6250, 9851.4404, D#9, 2.5994, 7461.2549, A#8, 2.5639, 6858.3252, A8, 2.5499, 6395.3613, G8, 2.4960, 9765.3076, D#9, 2.4872, 7816.5527, B8, 2.4833
1.600, 7870.3857, B8, 1.8058, 7881.1523, B8, 1.6074, 8204.1504, C9, 1.4392, 8193.3838, C9, 1.3960, 7848.8525, B8, 1.3692, 8451.7822, C9, 1.3369, 7891.9189, B8, 1.1759, 7461.2549, A#8, 1.1475, 9851.4404, D#9, 1.0875, 7838.0859, B8, 1.0215, 8462.5488, C9, 1.0085, 7902.6855, B8, 0.9904, 8441.0156, C9, 0.9354, 7181.3232, A8, 0.9269, 7859.6191, B8, 0.9249, 6384.5947, G8, 0.9089, 6965.9912, A8, 0.8974, 5620.1660, F8, 0.8681, 6373.8281, G8, 0.8379, 7450.4883, A#8, 0.8372
1.700, 9765.3076, D#9, 12.4183, 7891.9189, B8, 11.1746, 7902.6855, B8, 10.9707, 9754.5410, D#9, 10.4495, 8441.0156, C9, 9.1298, 8430.2490, C9, 8.0218, 9776.0742, D#9, 7.8340, 6858.3252, A8, 7.7771, 4995.7031, D#8, 7.2203, 7913.4521, B8, 7.2066, 7881.1523, B8, 6.7354, 5835.4980, F#8, 6.4970, 7472.0215, A#8, 6.3952, 7482.7881, A#8, 6.3423, 5598.6328, F8, 6.2366, 7515.0879, A#8, 6.2052, 7030.5908, A8, 6.1707, 8021.1182, B8, 6.1210, 8451.7822, C9, 6.1062, 9808.3740, D#9, 6.1050
1.800, 7870.3857, B8, 6.1672, 8893.2129, C#9, 4.9772, 7881.1523, B8, 4.9424, 6879.8584, A8, 4.8093, 4995.7031, D#8, 4.1208, 9754.5410, D#9, 3.8617, 9765.3076, D#9, 3.8280, 8903.9795, C#9, 3.6962, 6546.0938, G#8, 3.6132, 7902.6855, B8, 3.6038, 8171.8506, C9, 3.5024, 5630.9326, F8, 3.3396, 7913.4521, B8, 3.2768, 4984.9365, D#8, 3.2171, 6373.8281, G8, 3.2027, 7504.3213, A#8, 3.2000, 9808.3740, D#9, 3.1606, 8882.4463, C#9, 3.0296, 6556.8604, G#8, 2.9943, 6158.4961, G8, 2.9495
1.900, 7881.1523, B8, 1.4430, 7870.3857, B8, 1.3650, 7310.5225, A#8, 1.2715, 8451.7822, C9, 1.2407, 8193.3838, C9, 1.1876, 8462.5488, C9, 1.0589, 7461.2549, A#8, 1.0151, 5824.7314, F#8, 0.9805, 6373.8281, G8, 0.9123, 10228.2715, D#9, 0.9090, 5630.9326, F8, 0.9025, 6546.0938, G#8, 0.8871, 6879.8584, A8, 0.8841, 9506.9092, D9, 0.8584, 7848.8525, B8, 0.8414, 8214.9170, C9, 0.8353, 8182.6172, C9, 0.8259, 7579.6875, A#8, 0.8251, 10217.5049, D#9, 0.8218, 7375.1221, A#8, 0.8159
2.000, 7913.4521, B8, 2.1058, 9366.9434, D9, 1.7537, 9356.1768, D9, 1.6350, 7881.1523, B8, 1.6151, 7870.3857, B8, 1.5681, 9388.4766, D9, 1.5179, 7902.6855, B8, 1.5089, 6546.0938, G#8, 1.4320, 6847.5586, A8, 1.4044, 8430.2490, C9, 1.3616, 8408.7158, C9, 1.2954, 9485.3760, D9, 1.2886, 7924.2188, B8, 1.2457, 9377.7100, D9, 1.2093, 7095.1904, A8, 1.1944, 6826.0254, G#8, 1.1748, 8441.0156, C9, 1.1436, 5813.9648, F#8, 1.1378, 5017.2363, D#8, 1.1346, 9334.6436, D9, 1.1326
2.100, 8430.2490, C9, 6.8474, 7848.8525, B8, 6.6843, 9765.3076, D#9, 6.5264, 8441.0156, C9, 6.4056, 8193.3838, C9, 5.8744, 10292.8711, E9, 5.8404, 8451.7822, C9, 5.5553, 8204.1504, C9, 5.4608, 7838.0859, B8, 5.4456, 5329.4678, E8, 5.0839, 7881.1523, B8, 5.0439, 8462.5488, C9, 4.9136, 6384.5947, G8, 4.7454, 7859.6191, B8, 4.6896, 6879.8584, A8, 4.6472, 8128.7842, B8, 4.6339, 5340.2344, E8, 4.4575, 8828.6133, C#9, 4.4467, 6061.5967, F#8, 4.4223, 9776.0742, D#9, 4.3805
2.200, 7848.8525, B8, 2.9914, 7859.6191, B8, 2.9749, 6869.0918, A8, 2.8555, 6879.8584, A8, 2.6324, 9851.4404, D#9, 2.6187, 7052.1240, A8, 2.6145, 4995.7031, D#8, 2.5510, 7461.2549, A#8, 2.5185, 6858.3252, A8, 2.5096, 10185.2051, D#9, 2.5089, 5318.7012, E8, 2.4781, 8807.0801, C#9, 2.4367, 10174.4385, D#9, 2.4067, 8903.9795, C#9, 2.3704, 8570.2148, C9, 2.3689, 5824.7314, F#8, 2.3494, 7838.0859, B8, 2.3328, 9356.1768, D9, 2.2676, 7364.3555, A#8, 2.2406, 5307.9346, E8, 2.2360
2.300, 7848.8525, B8, 1.2734, 7870.3857, B8, 1.2257, 7859.6191, B8, 1.2208, 8204.1504, C9, 1.0900, 7902.6855, B8, 1.0775, 8193.3838, C9, 1.0714, 8182.6172, C9, 0.9510, 9851.4404, D#9, 0.9307, 7881.1523, B8, 0.8631, 7461.2549, A#8, 0.8464, 8451.7822, C9, 0.8256, 6040.0635, F#8, 0.8080, 4995.7031, D#8, 0.7992, 8171.8506, C9, 0.7885, 7913.4521, B8, 0.7762, 8462.5488, C9, 0.7702, 8903.9795, C#9, 0.7592, 6965.9912, A8, 0.7423, 7493.5547, A#8, 0.7312, 7504.3213, A#8, 0.7237
2.400, 9765.3076, D#9, 12.8922, 8441.0156, C9, 10.2802, 9754.5410, D#9, 10.2576, 7902.6855, B8, 9.0145, 7891.9189, B8, 8.8338, 8451.7822, C9, 8.3651, 9776.0742, D#9, 8.3294, 6858.3252, A8, 7.6242, 4995.7031, D#8, 7.4971, 7881.1523, B8, 7.3283, 6556.8604, G#8, 6.8941, 8430.2490, C9, 6.7643, 7848.8525, B8, 6.7556, 7482.7881, A#8, 6.4509, 5835.4980, F#8, 6.3013, 8462.5488, C9, 6.2962, 4984.9365, D#8, 6.1255, 6890.6250, A8, 6.0667, 5598.6328, F8, 6.0388, 7515.0879, A#8, 5.9625
2.500, 7870.3857, B8, 6.1020, 7881.1523, B8, 5.2821, 4995.7031, D#8, 4.4643, 6879.8584, A8, 4.3203, 8893.2129, C#9, 3.9111, 6546.0938, G#8, 3.8331, 7902.6855, B8, 3.8052, 9765.3076, D#9, 3.6577, 7913.4521, B8, 3.4160, 8171.8506, C9, 3.2887, 9754.5410, D#9, 3.1646, 7891.9189, B8, 3.0976, 4984.9365, D#8, 3.0891, 6556.8604, G#8, 3.0212, 8903.9795, C#9, 2.8795, 8882.4463, C#9, 2.7398, 6373.8281, G8, 2.7039, 5598.6328, F8, 2.6468, 6869.0918, A8, 2.6208, 7504.3213, A#8, 2.6012
2.600, 7881.1523, B8, 2.4139, 8451.7822, C9, 1.9394, 7870.3857, B8, 1.8197, 8462.5488, C9, 1.6296, 7310.5225, A#8, 1.6262, 8193.3838, C9, 1.6179, 10228.2715, D#9, 1.5654, 7461.2549, A#8, 1.5582, 5824.7314, F#8, 1.5374, 8182.6172, C9, 1.4360, 9786.8408, D#9, 1.3230, 7838.0859, B8, 1.3107, 5620.1660, F8, 1.2848, 10217.5049, D#9, 1.2837, 9506.9092, D9, 1.2548, 7848.8525, B8, 1.2529, 6879.8584, A8, 1.2377, 8903.9795, C#9, 1.1823, 6546.0938, G#8, 1.1790, 6007.7637, F#8, 1.1557
